y_true,global_pred,rules_pred,best_pred
757.3666666666667,910.0497200234231,663.0233333333333,757.3666666666594
1187.85,1034.0248420329824,1187.85,1187.8499999999888
644.8,751.4051293772231,587.4125,634.4333333333307
829.3,802.4992006516632,786.891396393944,788.0763423393956
898.9370389975647,814.132864110761,963.6542793294205,1008.1740744661695
662.2,468.6545071728824,587.4125,665.0999999999983
1997.4666666666665,1616.3594871610635,1743.9333333333334,1693.2266666666767
612.8,739.7714659181254,434.07277777777784,539.549999999995
1500.7999999999997,1221.5673051161152,1125.1936666666666,1497.0125000000082
1058.245,973.2409899559099,1125.1936666666666,1058.244999999996
1068.7,1103.4920528392602,330.75,1005.1500000000091
525.0,1202.3970674356046,1125.1936666666666,416.5
1767.7,1454.7267378311813,1719.625,1735.6500000000149
941.6,1103.4920528392602,330.75,1005.1500000000091
772.7,882.7478364469229,663.0233333333333,668.1333333333379
260.4,369.8804021251194,500.375,420.38333333333185
483.1,1102.5089048205625,483.1,483.10000000000394
1078.7,1003.7347997727995,883.0166666666668,976.0
602.3,531.3215319660061,587.4125,602.2999999999943
739.1,1265.1248021691426,1125.1936666666666,1224.0119999999908
643.1,531.5131514550019,587.4125,560.4500000000053
1226.8,1485.016780091364,1125.1936666666666,1480.3000000000077
1408.6,1616.3594871610635,1743.9333333333334,1693.2266666666767
957.4,739.6405563695437,855.1375,916.75
1245.15,1385.2595270249033,1315.4333333333334,1245.1500000000117
491.7,721.1150871170405,776.125,681.316666666668
813.85,751.2742198286415,855.1375,813.8499999999945
1572.2,1616.3594871610635,1743.9333333333334,1693.2266666666767
902.8,652.5001147808787,883.0166666666668,892.8499999999927
680.9000000000001,468.6545071728824,587.4125,665.0999999999983
599.3,751.4051293772231,587.4125,634.4333333333307
1314.8,1022.3911785738845,1315.4333333333334,1314.8000000000031
1348.0666666666668,972.0178208911577,1125.1936666666666,1348.0666666666598
1935.3,1270.881130223185,1518.477,1840.6132999999854
1005.1500000000001,1103.4920528392602,330.75,1005.1500000000091
1173.6,1385.2595270249033,1315.4333333333334,1245.1500000000117
1018.15,973.8701715415145,1125.1936666666666,1018.1500000000092
602.3,530.4820294084675,587.4125,602.2999999999943
821.9,1253.4911387100447,1125.1936666666666,795.6500000000052
976.0,1003.7347997727995,883.0166666666668,976.0
1694.9,908.0127817721661,1125.1936666666666,1679.75
1018.8,1102.6398143691442,949.775,972.7833333333286
